loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,loan_status
24000,24000, 36 months,11.22,788.24,B,B5,1
10000,10000, 36 months,16.59,354.5,D,D1,1
6000,6000, 36 months,7.89,187.72,A,A5,1
4200,4200, 36 months,9.93,135.39,B,B2,1
9800,9800, 36 months,11.53,323.31,B,B5,1
2000,2000, 36 months,21.27,75.63,G,G4,1
26500,26500, 36 months,11.67,876.01,B,B4,1
12000,12000, 36 months,12.88,403.64,C,C2,1
2000,2000, 36 months,13.18,67.57,C,C3,1
7200,7200, 36 months,13.99,246.05,C,C4,1
7600,7600, 36 months,6.24,232.04,A,A2,1
15000,15000, 36 months,13.99,512.6,C,C4,1
28000,28000, 60 months,19.05,727.11,D,D4,1
9600,9600, 36 months,7.62,299.15,A,A3,1
6000,6000, 36 months,9.99,193.58,B,B3,1
24125,24125, 36 months,10.99,789.71,B,B3,1
10000,10000, 36 months,12.29,333.53,C,C1,1
14000,14000, 36 months,9.99,451.68,B,B1,1
8000,8000, 36 months,13.98,273.35,C,C3,1
25000,25000, 60 months,15.61,602.79,D,D1,1
1200,1200, 36 months,21.49,45.52,E,E3,1
10000,10000, 60 months,18.25,255.3,E,E1,1
15950,15950, 60 months,25.89,476.52,G,G3,1
20000,20000, 36 months,10.99,654.68,B,B2,1
3600,3600, 36 months,13.99,123.03,C,C3,1
16000,16000, 36 months,9.49,512.46,B,B2,1
12000,12000, 36 months,16.99,427.78,D,D3,1
16000,16000, 60 months,10.75,345.89,B,B4,1
20000,20000, 60 months,20.99,540.96,E,E5,1
9000,9000, 36 months,17.77,324.34,D,D1,1
25000,25000, 60 months,21.0,676.34,E,E1,1
3500,3500, 36 months,13.98,119.59,C,C3,1
21000,21000, 36 months,6.62,644.78,A,A2,1
7200,7200, 36 months,15.99,253.1,C,C5,1
2400,2400, 36 months,12.05,79.78,C,C1,1
25000,25000, 60 months,20.49,669.19,E,E2,1
12150,12150, 36 months,17.57,436.64,D,D2,1
3200,3200, 36 months,11.06,104.86,B,B3,1
7000,7000, 36 months,9.17,223.16,B,B1,1
33000,33000, 36 months,10.75,1076.48,B,B4,1
10800,10800, 36 months,16.02,379.81,C,C5,1
2400,2400, 36 months,7.62,74.79,A,A3,1
28000,28000, 36 months,9.67,899.15,B,B1,1
7200,7200, 36 months,15.31,250.69,C,C4,1
20000,20000, 60 months,12.79,452.92,C,C1,1
8425,8425, 36 months,10.99,275.79,B,B2,1
20000,20000, 60 months,12.62,451.19,C,C1,1
3000,3000, 36 months,13.67,102.06,C,C3,1
12000,12000, 36 months,11.44,395.37,B,B4,1
7200,7200, 36 months,14.99,249.56,C,C4,1
24175,24175, 36 months,13.99,826.13,C,C4,1
10000,10000, 60 months,21.49,273.3,D,D5,1
5600,5600, 36 months,13.11,188.99,B,B4,1
30000,30000, 60 months,22.39,835.24,E,E1,1
5000,5000, 36 months,8.18,157.1,B,B1,1
12000,12000, 60 months,13.11,273.72,B,B4,1
35000,35000, 60 months,20.2,931.19,E,E3,1
25000,25000, 36 months,7.91,782.38,A,A5,1
5600,5600, 36 months,7.91,175.26,A,A5,1
15000,15000, 36 months,8.59,474.14,A,A5,1
7800,7800, 36 months,11.67,257.85,B,B4,1
35000,35000, 36 months,8.49,1104.71,B,B1,1
6000,6000, 36 months,11.44,197.69,B,B4,1
30000,30000, 36 months,17.99,1084.43,D,D2,1
7000,7000, 36 months,11.67,231.4,B,B4,1
15500,15500, 36 months,6.49,474.99,A,A2,1
27000,27000, 36 months,6.24,824.34,A,A2,1
21000,21000, 36 months,10.99,687.42,B,B4,1
11225,11225, 36 months,28.34,466.38,G,G3,1
8000,8000, 36 months,16.99,285.19,D,D1,1
33000,33000, 60 months,17.1,821.92,C,C5,1
6000,6000, 36 months,7.26,185.98,A,A4,1
6000,6000, 36 months,12.74,201.42,C,C1,1
6200,6200, 36 months,16.99,221.02,D,D3,1
6000,6000, 36 months,13.59,203.88,C,C2,1
12000,12000, 60 months,16.02,291.95,C,C5,1
10000,10000, 36 months,13.49,339.31,C,C1,1
14000,14000, 36 months,15.31,487.45,C,C2,1
8000,8000, 36 months,10.42,259.72,B,B3,1
8000,8000, 36 months,10.99,261.88,B,B4,1
9875,9875, 36 months,16.29,348.6,D,D2,1
7500,7500, 36 months,6.68,230.49,A,A3,1
30000,30000, 60 months,13.59,691.69,C,C2,1
12500,12500, 36 months,21.99,477.32,E,E5,1
27275,27275, 36 months,7.49,848.3,A,A4,1
13200,13200, 60 months,15.41,316.88,D,D1,1
20000,20000, 36 months,9.25,638.33,A,A5,1
8800,8800, 36 months,7.26,272.77,A,A4,1
4000,4000, 36 months,12.74,134.28,C,C1,1
31000,31000, 36 months,8.9,984.35,A,A5,1
19000,19000, 36 months,16.29,670.71,D,D1,1
10000,10000, 36 months,10.47,324.89,B,B2,1
2500,2500, 36 months,21.6,94.96,E,E3,1
28000,28000, 36 months,8.59,885.06,A,A5,1
20000,20000, 60 months,10.42,429.09,B,B3,1
22475,22475, 60 months,14.31,526.58,C,C4,1
7200,7200, 36 months,5.32,216.83,A,A1,1
5000,5000, 36 months,12.62,167.56,C,C1,1
9600,9600, 36 months,12.12,319.41,B,B3,1
6000,6000, 36 months,11.99,199.26,C,C1,1
2575,2575, 36 months,10.99,84.3,B,B4,1
10000,10000, 36 months,11.67,330.57,B,B4,1
18100,18100, 60 months,25.99,541.82,G,G4,1
10000,10000, 36 months,10.64,325.69,B,B4,1
10000,10000, 36 months,8.99,317.96,B,B1,1
24700,24700, 36 months,13.49,838.09,C,C2,1
10000,10000, 36 months,13.11,337.47,B,B4,1
18000,18000, 60 months,17.57,452.89,D,D4,1
8000,8000, 36 months,7.26,247.97,A,A4,1
16000,16000, 36 months,11.99,531.36,B,B3,1
8000,8000, 36 months,12.29,266.83,C,C1,1
5000,5000, 36 months,8.18,157.1,B,B1,1
30000,30000, 36 months,9.8,965.21,B,B3,1
12000,12000, 60 months,23.4,341.05,E,E5,1
12000,12000, 36 months,11.99,398.52,B,B5,1
24000,24000, 36 months,13.33,812.48,C,C3,1
28600,28600, 36 months,11.49,942.98,B,B5,1
7200,7200, 36 months,9.17,229.53,B,B2,1
8500,8500, 36 months,13.59,288.83,C,C2,1
13625,13625, 36 months,17.57,489.65,D,D2,1
33000,33000, 60 months,17.09,821.74,D,D1,1
6000,6000, 36 months,16.99,213.89,D,D1,1
3375,3375, 36 months,13.11,113.9,B,B4,1
24000,24000, 36 months,10.42,779.16,B,B3,1
25000,25000, 60 months,10.99,543.44,B,B4,1
20000,20000, 36 months,13.99,683.46,C,C4,1
2900,2900, 36 months,20.2,108.08,D,D5,1
29750,29750, 60 months,23.13,840.9,F,F2,1
20000,20000, 36 months,15.61,699.3,D,D1,1
4450,4450, 36 months,16.29,157.09,C,C5,1
6500,6500, 36 months,8.24,204.41,B,B1,1
5000,5000, 36 months,13.35,169.32,C,C2,1
8000,8000, 36 months,11.53,263.93,B,B5,1
26000,26000, 36 months,5.32,782.99,A,A1,1
6400,6400, 36 months,20.0,237.85,D,D4,1
6000,6000, 36 months,5.32,180.69,A,A1,1
1600,1600, 36 months,21.85,60.99,D,D5,1
6000,6000, 36 months,23.88,235.02,E,E2,1
2000,2000, 36 months,7.9,62.59,A,A4,1
20000,20000, 36 months,6.24,610.62,A,A2,1
20000,20000, 60 months,13.99,465.27,C,C4,1
13000,13000, 60 months,19.99,344.35,E,E3,1
20000,20000, 36 months,5.32,602.3,A,A1,1
12000,12000, 36 months,9.17,382.55,B,B2,1
12300,12300, 36 months,12.99,414.38,B,B4,1
7625,7625, 36 months,23.13,295.68,F,F1,1
16000,16000, 36 months,8.38,504.2,B,B1,1
12875,12875, 36 months,12.69,431.89,C,C2,1
10000,10000, 36 months,17.97,361.38,D,D1,1
12000,12000, 36 months,11.55,396,B,B3,1
8300,8300, 36 months,10.99,271.7,B,B4,1
5000,5000, 36 months,6.89,154.14,A,A3,1
13000,13000, 36 months,10.49,422.48,B,B3,1
10800,10800, 36 months,7.89,337.89,A,A5,1
2000,2000, 36 months,14.31,68.66,C,C4,1
35000,35000, 36 months,9.99,1129.19,B,B3,1
24125,24125, 36 months,12.49,806.96,B,B5,1
10000,10000, 36 months,12.35,333.82,B,B4,1
30000,30000, 36 months,10.41,973.81,B,B3,1
9000,9000, 36 months,10.41,292.15,B,B3,1
4200,4200, 36 months,17.27,150.31,C,C5,1
21325,21325, 36 months,19.99,792.41,D,D4,1
7000,7000, 36 months,16.77,248.77,D,D2,1
12000,12000, 36 months,7.49,373.22,A,A4,1
8500,8500, 36 months,14.09,290.89,B,B5,1
28000,28000, 36 months,6.89,863.16,A,A3,1
11100,11100, 60 months,7.26,221.16,A,A4,1
35000,35000, 36 months,9.99,1129.19,B,B3,1
18000,18000, 36 months,14.64,620.81,C,C3,1
8000,8000, 36 months,12.12,266.18,B,B3,1
35000,35000, 36 months,8.9,1111.37,A,A5,1
12000,12000, 36 months,5.32,361.38,A,A1,1
30175,30175, 60 months,15.05,718.66,C,C4,1
24500,24500, 36 months,6.49,750.79,A,A2,1
1500,1500, 36 months,9.99,48.4,B,B3,1
5600,5600, 36 months,10.15,181.1,B,B2,1
5000,5000, 36 months,16.49,177,D,D3,1
8000,8000, 36 months,20.5,299.36,E,E1,1
10000,10000, 60 months,13.33,229.23,C,C3,1
16000,16000, 36 months,18.55,582.87,D,D4,1
30000,30000, 36 months,9.67,963.38,B,B1,1
12000,12000, 60 months,12.35,269.07,B,B4,1
7200,7200, 36 months,16.55,255.1,D,D2,1
36000,36000, 36 months,9.93,1160.44,B,B2,1
21000,21000, 36 months,7.89,657,A,A5,1
20800,20800, 36 months,24.85,825.36,E,E3,1
2000,2000, 36 months,15.59,69.91,D,D1,1
13000,13000, 36 months,7.39,403.73,A,A4,1
8000,8000, 36 months,14.99,277.29,C,C5,1
5000,5000, 36 months,9.49,160.15,B,B2,1
6350,6350, 36 months,11.99,210.89,B,B3,1
20000,20000, 60 months,16.02,486.58,C,C5,1
12000,12000, 36 months,10.15,388.06,B,B2,1
10000,10000, 36 months,12.99,336.9,B,B4,1
5200,5200, 36 months,12.85,174.84,B,B4,1
10000,10000, 36 months,8.9,317.54,A,A5,1
16000,16000, 36 months,13.59,543.67,C,C2,1
2800,2800, 36 months,14.3,96.11,C,C1,1
13825,13825, 36 months,12.79,464.43,C,C1,1
22400,22400, 36 months,16.02,787.74,C,C5,1
2000,2000, 36 months,7.74,62.44,A,A3,1
8000,8000, 36 months,12.12,266.18,B,B3,1
15000,15000, 36 months,12.29,500.3,C,C1,1
7000,7000, 36 months,8.24,220.14,B,B1,1
19200,19200, 60 months,13.49,441.7,C,C2,1
20000,20000, 36 months,9.16,637.49,B,B2,1
10000,10000, 60 months,18.94,259.08,D,D2,1
30000,30000, 60 months,9.44,629.18,B,B1,1
35000,35000, 60 months,15.61,843.9,D,D1,1
23850,23850, 60 months,24.89,698.5,F,F4,1
11200,11200, 36 months,15.61,391.61,D,D1,1
15000,15000, 36 months,12.99,505.34,C,C2,1
35000,35000, 36 months,21.45,1326.73,D,D5,1
10000,10000, 36 months,12.99,336.9,C,C1,1
12000,12000, 36 months,13.11,404.97,B,B4,1
10000,10000, 36 months,7.89,312.86,A,A5,1
14400,14400, 36 months,11.47,474.65,B,B5,1
25000,25000, 36 months,14.49,860.41,C,C4,1
25000,25000, 36 months,8.9,793.84,A,A5,1
20000,20000, 36 months,8.39,630.34,A,A5,1
20000,20000, 36 months,7.97,626.46,A,A5,1
7000,7000, 36 months,6.03,213.05,A,A1,1
20000,20000, 36 months,5.32,602.3,A,A1,1
28000,28000, 36 months,19.52,1033.75,E,E2,1
7800,7800, 36 months,16.55,276.35,D,D2,1
8500,8500, 36 months,10.99,278.24,B,B2,1
34925,34925, 60 months,14.99,830.68,C,C5,1
20000,20000, 60 months,14.99,475.7,C,C5,1
5000,5000, 36 months,13.98,170.84,C,C3,1
14500,14500, 60 months,9.99,308.02,B,B3,1
9000,9000, 36 months,7.89,281.58,A,A5,1
25000,25000, 36 months,19.03,916.78,D,D3,1
12000,12000, 36 months,6.68,368.78,A,A3,1
8000,8000, 36 months,7.89,250.29,A,A5,1
28000,28000, 36 months,8.9,889.09,A,A5,1
15000,15000, 60 months,14.99,356.78,C,C4,1
35000,35000, 60 months,14.47,822.95,C,C2,1
10000,10000, 36 months,8.9,317.54,A,A5,1
6575,6575, 36 months,8.18,206.59,B,B1,1
4000,4000, 36 months,13.99,136.7,C,C3,1
20000,20000, 60 months,15.61,482.23,D,D1,1
20800,20800, 36 months,6.03,633.06,A,A1,1
8000,8000, 36 months,21.45,303.26,D,D5,1
30000,30000, 60 months,19.42,785.17,E,E3,1
16000,16000, 60 months,15.99,389.01,C,C5,1
12000,12000, 60 months,19.52,314.74,D,D4,1
4525,4525, 36 months,9.16,144.24,B,B2,1
12000,12000, 36 months,6.72,369,A,A3,1
10000,10000, 36 months,13.99,341.73,C,C4,1
6400,6400, 36 months,10.49,207.99,B,B3,1
15000,15000, 36 months,11.14,492.08,B,B2,1
20000,20000, 36 months,8.24,628.95,B,B1,1
24000,24000, 36 months,11.99,797.03,B,B3,1
2500,2500, 36 months,6.24,76.33,A,A2,1
15000,15000, 36 months,6.99,463.09,A,A3,1
12800,12800, 36 months,11.53,422.28,B,B5,1
2875,2875, 36 months,14.16,98.49,C,C2,1
15000,15000, 36 months,7.89,469.29,A,A5,1
24000,24000, 60 months,9.75,506.99,B,B3,1
4800,4800, 36 months,5.99,146.01,A,A2,1
13000,13000, 60 months,10.49,279.36,B,B3,1
3600,3600, 36 months,13.99,123.03,C,C3,1
25000,25000, 36 months,5.32,752.87,A,A1,1
7500,7500, 36 months,15.05,260.18,C,C4,1
22000,22000, 36 months,17.86,793.81,D,D5,1
11200,11200, 36 months,12.49,374.63,B,B5,1
7125,7125, 36 months,14.64,245.74,C,C3,1
12000,12000, 60 months,11.22,262.23,B,B5,1
6000,6000, 36 months,9.49,192.17,B,B2,1
35000,35000, 36 months,11.49,1154,B,B5,1
10000,10000, 60 months,15.59,241.01,D,D1,1
31725,31725, 36 months,23.32,1233.37,E,E3,1
8000,8000, 36 months,11.67,264.46,B,B4,1
17000,17000, 36 months,12.49,568.64,B,B5,1
10000,10000, 36 months,6.99,308.73,A,A3,1
10000,10000, 36 months,5.32,301.15,A,A1,1
18000,18000, 36 months,11.99,597.78,B,B3,1
8475,8475, 36 months,12.49,283.48,B,B5,1
10000,10000, 60 months,17.86,253.18,D,D5,1
12000,12000, 36 months,12.49,401.39,B,B5,1
2100,2100, 36 months,13.11,70.87,C,C2,1
8750,8750, 36 months,13.33,296.22,C,C3,1
11000,11000, 36 months,6.92,339.25,A,A4,1
12000,12000, 36 months,7.9,375.49,A,A4,1
30000,30000, 36 months,14.65,1034.83,C,C5,1
21000,21000, 60 months,13.35,481.59,C,C2,1
9600,9600, 36 months,11.22,315.3,B,B5,1
8000,8000, 36 months,7.26,247.97,A,A4,1
35000,35000, 60 months,15.61,843.9,D,D1,1
10000,10000, 60 months,13.23,228.71,C,C1,1
2500,2500, 36 months,15.99,87.89,D,D2,1
12250,12250, 36 months,24.99,487,F,F4,1
40000,40000, 36 months,5.32,1204.6,A,A1,1
3000,3000, 36 months,11.14,98.42,B,B2,1
3500,3500, 36 months,6.71,107.61,A,A3,1
30000,30000, 36 months,11.47,988.86,B,B5,1
27000,27000, 36 months,9.16,860.61,B,B2,1
2900,2900, 36 months,9.16,92.44,B,B2,1
20000,20000, 60 months,15.05,476.33,C,C4,1
19000,19000, 36 months,10.64,618.81,B,B2,1
11000,11000, 60 months,19.2,286.56,D,D3,1
35000,35000, 36 months,13.98,1195.88,C,C3,1
6000,6000, 36 months,13.67,204.11,B,B5,1
7000,7000, 36 months,9.16,223.12,B,B2,1
7200,7200, 36 months,10.99,235.69,B,B4,1
14400,14400, 36 months,10.49,467.97,B,B2,1
5000,5000, 36 months,11.71,165.38,B,B3,1
14000,14000, 60 months,18.99,363.1,D,D3,1
15000,15000, 36 months,9.67,481.69,B,B1,1
13000,13000, 36 months,6.89,400.75,A,A3,1
14400,14400, 36 months,7.89,450.52,A,A5,1
7500,7500, 36 months,12.39,250.51,C,C1,1
29675,29675, 60 months,12.69,670.5,C,C2,1
24000,24000, 36 months,6.24,732.74,A,A2,1
16000,16000, 36 months,11.53,527.85,B,B5,1
5000,5000, 36 months,16.29,176.51,D,D1,1
9800,9800, 36 months,9.99,316.18,B,B3,1
22000,22000, 36 months,13.67,748.39,B,B5,1
25000,25000, 36 months,10.49,812.45,B,B2,1
11000,11000, 36 months,23.99,431.51,E,E2,1
12000,12000, 36 months,15.22,417.28,C,C3,1
22000,22000, 36 months,8.46,694.08,A,A5,1
8000,8000, 36 months,6.92,246.73,A,A4,1
20000,20000, 36 months,8.18,628.39,B,B1,1
35000,35000, 36 months,9.8,1126.07,B,B3,1
16000,16000, 36 months,8.18,502.72,B,B1,1
6000,6000, 36 months,13.33,203.12,C,C3,1
24000,24000, 36 months,10.75,782.9,B,B4,1
37000,37000, 36 months,9.44,1184.19,B,B1,1
10000,10000, 36 months,10.99,327.34,B,B4,1
3200,3200, 36 months,13.65,108.83,C,C1,1
21000,21000, 36 months,10.99,687.42,B,B2,1
8175,8175, 36 months,12.74,274.43,C,C1,1
8000,8000, 36 months,9.17,255.04,B,B2,1
17400,17400, 36 months,12.99,586.2,B,B4,1
8000,8000, 36 months,18.99,293.21,E,E1,1
5000,5000, 36 months,6.92,154.21,A,A4,1
21000,21000, 36 months,19.2,771.91,D,D3,1
16800,16800, 60 months,13.59,387.35,C,C2,1
8000,8000, 36 months,13.53,271.6,B,B5,1
35000,35000, 36 months,9.75,1125.25,B,B3,1
9600,9600, 36 months,21.85,365.89,D,D5,1
4000,4000, 36 months,7.07,123.64,A,A2,1
35000,35000, 60 months,22.95,985.67,F,F1,1
16000,16000, 36 months,12.29,533.65,C,C1,1
12000,12000, 36 months,13.33,406.24,C,C3,1
5000,5000, 36 months,10.99,163.67,B,B4,1
25250,25250, 36 months,17.27,903.63,D,D2,1
8000,8000, 36 months,11.53,263.93,B,B5,1
6725,6725, 36 months,11.99,223.34,C,C1,1
6000,6000, 36 months,6.03,182.62,A,A1,1
15000,15000, 36 months,6.62,460.56,A,A2,1
24000,24000, 60 months,7.89,485.38,A,A5,1
20975,20975, 36 months,16.99,747.72,D,D3,1
10000,10000, 36 months,8.18,314.2,B,B1,1
28000,28000, 60 months,17.57,704.49,D,D2,1
7000,7000, 36 months,11.39,230.47,B,B3,1
16000,16000, 36 months,6.62,491.26,A,A2,1
24000,24000, 36 months,10.49,779.95,B,B3,1
